id,ime,država,gorovje,višina,širina,dolžina,vrsta,število ogledov,priljubljenost,mesto na lestvici priljubljenosti,število slik,število poti
101054,Mali Šmohor,Slovenija,Julijske Alpe,1939,46.27923,13.68712,vrh,331969,74,887.,4,2
101055,Veliki Šmohor,Slovenija,Julijske Alpe,1944,46.27427,13.68549,vrh,400399,81,649.,2,2
101056,Bivak Nogara,Italija,Julijske Alpe,1850,46.44718,13.65418,bivak,319947,73,931.,4,1
101057,Travnik,Slovenija,Julijske Alpe,2252,46.33751,13.74382,vrh,412437,82,604.,7,1
101058,Plaski Vogel,Slovenija,Julijske Alpe,2348,46.33771,13.75064,vrh,400568,81,648.,4,1
101059,Planina Za skalo,Slovenija,Julijske Alpe,1510,46.31904,13.71744,planina,360560,77,788.,8,1
10106,Mišelj vrh,Slovenija,Julijske Alpe,2350,46.3565,13.83745,vrh,518522,92,291.,15,1
101060,Rušnata Mlinarica,Slovenija,Julijske Alpe,1777,46.41265,13.87945,vrh,279458,68,1089.,6,2
101062,Šplevta,Slovenija,Julijske Alpe,2272,46.43571,13.84014, ,436931,85,525.,3,2
101096,Kurji vrh,Slovenija,Julijske Alpe,1762,46.46596,13.80579,vrh,444681,86,496.,3,2
101097,Bivak Za Akom,Slovenija,Julijske Alpe,1340,46.45952,13.83833,bivak,406156,82,624.,3,1
101098,Mala Rodica,Slovenija,Julijske Alpe,1901,46.23085,13.86239,vrh,250210,65,1199.,5,2
101099,Raskovec,Slovenija,Julijske Alpe,1967,46.22906,13.88543,vrh,361450,77,785.,6,6
101100,Planina Poljana,Slovenija,Julijske Alpe,1466,46.23684,13.89276,planina,224630,63,1290.,15,4
101101,Planina Osredki,Slovenija,Julijske Alpe,1400,46.2379,13.92248,"bivak, planina",265190,67,1139.,4,2
101102,Četrt,Slovenija,Julijske Alpe,1832,46.23067,13.91666,vrh,245739,65,1211.,4,4
101103,Konjski vrh,Slovenija,Julijske Alpe,1879,46.2302,13.90863,vrh,304546,71,995.,3,4
101104,Poljanski vrh,Slovenija,Julijske Alpe,1897,46.23023,13.90303,vrh,250551,65,1196.,4,4
101105,Matajurski vrh,Slovenija,Julijske Alpe,1936,46.22633,13.89726,vrh,354993,77,808.,5,4
101106,Mali Raskovec,Slovenija,Julijske Alpe,1946,46.23133,13.88013,vrh,210665,61,1351.,3,4
101107,Suha Rodica (Novi vrh),Slovenija,Julijske Alpe,1944,46.22596,13.87618,vrh,246090,65,1207.,3,4
101108,Meja,Slovenija,Julijske Alpe,1996,46.25076,13.78727,vrh,263870,67,1144.,4,5
101109,Rušnati vrh,Slovenija,Julijske Alpe,1915,46.24681,13.7957,vrh,238908,64,1240.,2,3
101114,Jehlc (Špičasta kupa),Slovenija,Julijske Alpe,1662,46.22019,13.86219,vrh,246071,65,1208.,7,3
101121,Gubno,Slovenija,Julijske Alpe,2403,46.41718,13.80836,vrh,375895,79,730.,4,3
101124,Okroglež,Slovenija,Julijske Alpe,1965,46.3861,13.93119,vrh,366116,78,758.,7,3
101126,Slap Beri,Slovenija,Julijske Alpe,454,46.18386,13.76497,slap,235477,64,1252.,0,1
1012,Visoki Kanin,"Italija, Slovenija",Julijske Alpe,2587,46.36018,13.439,vrh,643838,97,113.,9,5
101240,Kobilja glava,Slovenija,Julijske Alpe,1475,46.19015,13.79541,vrh,444575,86,498.,10,2
101241,Jalovnik,Slovenija,Julijske Alpe,1452,46.18723,13.80083,vrh,273127,68,1107.,4,2
101242,Kobala,Slovenija,Julijske Alpe,1080,46.18139,13.77967,vrh,243048,64,1228.,3,1
101243,Planina Lom,Slovenija,Julijske Alpe,1090,46.19957,13.78219,"planina, sedlo",269172,67,1126.,2,1
101249,Mala Osojnica,Slovenija,Julijske Alpe,691,46.35703,14.08113,vrh,515038,91,296.,5,2
101250,Straža,Slovenija,Julijske Alpe,646,46.35971,14.1035,vrh,349076,76,830.,3,1
101253,Poglejska cerkev,Slovenija,Julijske Alpe,630,46.374,14.07192, ,244820,65,1216.,2,1
101254,Planina Obranica,Slovenija,Julijske Alpe,1035,46.41199,14.06793,"koča, planina",268452,67,1129.,6,3
101255,Poljanska baba,Slovenija,Julijske Alpe,830,46.4176,14.0779,vrh,226122,63,1283.,8,1
101256,Škrbina (Mežakla),Slovenija,Julijske Alpe,1210,46.42439,14.04422,vrh,346232,76,836.,4,2
101260,Partizanska bolnišnica na Mežakli,Slovenija,Julijske Alpe,1050,,, ,187116,58,1437.,3,1
101266,Kumlehova glava,Slovenija,Julijske Alpe,1788,46.45375,13.75866,vrh,389274,80,685.,3,2
101267,Visoki Mavrinc,Slovenija,Julijske Alpe,1562,46.45009,13.76556,vrh,524094,92,279.,3,2
101270,Pokljuška soteska (luknja),Slovenija,Julijske Alpe,830,46.3766,14.0326, ,313546,72,955.,4,1
101278,Kraljevska špica/Monte Re,Italija,Julijske Alpe,1912,46.45596,13.55719,vrh,376175,79,729.,5,1
101280,Šober / Monte Sciober Grande,Italija,Julijske Alpe,1845,46.45037,13.59921,vrh,320387,73,927.,10,4
101281,Rifugio Cinque Punte,Italija,Julijske Alpe,1520,46.45894,13.59549,bivak,245129,65,1213.,4,1
101282,Koštrunove špice,Italija,Julijske Alpe,2502,46.42243,13.48655,vrh,465463,88,429.,2,3
101283,Viška planina,Italija,Julijske Alpe,1530,46.41478,13.50194,planina,288342,69,1056.,4,1
1013,Mali Kanin,"Italija, Slovenija",Julijske Alpe,2571,46.35727,13.43765,vrh,451627,86,472.,9,1
10132,Črno jezero,Slovenija,Julijske Alpe,1294,46.29834,13.79533,jezero,574171,95,181.,4,3
101326,Zadnja Mojstrovka,Slovenija,Julijske Alpe,2354,46.43084,13.72004,vrh,444643,86,497.,8,2
101327,Travnik (pri Mojstrovkah),Slovenija,Julijske Alpe,2379,46.42902,13.71316,vrh,466200,88,424.,5,2
101328,Kol,Slovenija,Julijske Alpe,2350,46.42756,13.70943,vrh,327253,74,903.,3,2
101329,Prednje Robičje,Slovenija,Julijske Alpe,1941,46.44441,13.74514,vrh,344401,76,842.,5,2
10133,Koča pri Triglavskih jezerih,Slovenija,Julijske Alpe,1685,46.3186,13.77898,"koča, jezero, bivak",1025379,100,11.,22,8
101331,Jama Srnica,Slovenija,Julijske Alpe,550,46.33136,13.50243, ,254001,66,1181.,2,1
101332,Humčič,Slovenija,Julijske Alpe,810,46.3143,13.57605, ,227136,63,1278.,3,2
101337,Mala Boka,Slovenija,Julijske Alpe,440,46.3208,13.49241, ,215214,61,1329.,1,1
101338,Bivak Stuparich,Italija,Julijske Alpe,1587,46.44486,13.44788,bivak,239729,64,1239.,6,2
101339,Bivak Suringar,Italija,Julijske Alpe,2430,46.43675,13.42831,bivak,333880,74,883.,1,2
101342,Špik nad Nosom / Foronon del Buinz,Italija,Julijske Alpe,2531,46.41788,13.46558,"vrh, bivak",495879,90,347.,7,2
101344,Vrh Brda / Cima Verde,Italija,Julijske Alpe,2661,46.43329,13.44233,vrh,455796,87,455.,2,1
101346,Veliki vrh (Polovnik),Slovenija,Julijske Alpe,1768,46.29498,13.57129, ,373384,79,739.,5,1
101347,Lovska koča Na Utrci,Slovenija,Julijske Alpe,1500,46.39604,13.79424, ,236313,64,1249.,2,1
101348,Šplevta (Indijanec),Slovenija,Julijske Alpe,2382,46.4137,13.79895,vrh,390165,80,683.,3,2
101349,Kriški rob,Slovenija,Julijske Alpe,2366,46.40943,13.80196,vrh,387476,80,690.,4,2
101368,Škraplja,"Italija, Slovenija",Julijske Alpe,1794,46.3853,13.5335,vrh,276620,68,1097.,10,1
10137,Planina Konjščica,Slovenija,Julijske Alpe,1438,46.3488,13.89645,"koča, planina",554976,94,221.,17,5
101370,Briceljk,Slovenija,Julijske Alpe,2346,46.39508,13.63191,vrh,442405,85,511.,0,1
101371,Vrh Škrli,Slovenija,Julijske Alpe,1926,46.27426,13.74549,vrh,244480,65,1219.,3,2
101372,Kser,Slovenija,Julijske Alpe,1900,46.27221,13.74742,vrh,288460,69,1055.,1,2
101373,Vrh Krnice,Italija,Julijske Alpe,2441,46.3652,13.43339,vrh,352813,76,819.,3,1
101374,Bela peč/Monte Bila pec,Italija,Julijske Alpe,2146,46.37497,13.45582,vrh,407196,82,620.,4,1
101375,Planina Bala,Slovenija,Julijske Alpe,1181,46.3802,13.6375,planina,250988,65,1194.,3,1
101376,Lovska koča Bala,Slovenija,Julijske Alpe,1300,46.3893,13.652, ,220372,62,1306.,3,1
101377,Plešivec (Loška stena),Slovenija,Julijske Alpe,2184,46.4102,13.66046,vrh,398672,81,656.,4,2
101379,Mali Ozebnik,Slovenija,Julijske Alpe,2324,46.4072,13.6686,vrh,289369,70,1049.,2,1
10138,Studorski preval,Slovenija,Julijske Alpe,1892,46.35436,13.88201,sedlo,450824,86,475.,2,1
101380,Rutarski Vršič,Slovenija,Julijske Alpe,1699,46.4648,13.84688,vrh,342191,75,854.,4,2
101381,Široka peč,Slovenija,Julijske Alpe,2497,46.44378,13.84228,vrh,456383,87,452.,2,1
101382,Mala Martuljška Ponca,Slovenija,Julijske Alpe,2501,46.44339,13.82059,vrh,431869,84,542.,1,1
101383,Vrh Snežne konte,Slovenija,Julijske Alpe,2342,46.37691,13.85545,vrh,370799,78,746.,5,3
101384,Na Pečeh,Slovenija,Julijske Alpe,2039,46.44889,13.82604,vrh,319347,73,933.,3,1
101385,Pri treh macesnih,Slovenija,Julijske Alpe,1810,46.44696,13.83911, ,338569,75,871.,5,1
101388,Vernar,Slovenija,Julijske Alpe,2225,46.36116,13.86152,vrh,483584,89,371.,9,7
10139,Vodnikov dom na Velem polju,Slovenija,Julijske Alpe,1817,46.35588,13.86133,"koča, bivak",654253,97,105.,6,8
101393,Sveta Marjeta pod Stolom,Slovenija,Julijske Alpe,973,46.2732,13.4377,cerkev,252936,66,1186.,1,1
101394,Gabrovec (Veliki Muzec),Slovenija,Julijske Alpe,1630,46.28907,13.41061,vrh,303942,71,998.,4,1
101395,Breški Jalovec / Punta di Montemaggiore,Italija,Julijske Alpe,1613,46.28461,13.36944,vrh,369483,78,748.,5,2
1014,Kanjavec,Slovenija,Julijske Alpe,2569,46.3602,13.80966,vrh,665080,97,97.,15,9
10140,Koča na Planini pri Jezeru,Slovenija,Julijske Alpe,1453,46.30968,13.82758,"koča, jezero, bivak, planina",639276,96,121.,21,6
101406,Marija Snežna v Breginjskem kotu,Slovenija,Julijske Alpe,645,46.26577,13.42156,"vrh, cerkev",174076,57,1486.,1,1
101440,Javorov vrh (Pokljuka),Slovenija,Julijske Alpe,1482,46.32423,13.95066,vrh,451353,86,473.,3,1
101475,Koča na Petrovem Brdu,Slovenija,Julijske Alpe,804,46.2154,13.999,"koča, sedlo",368604,78,750.,10,1
101482,Kup,Slovenija,Julijske Alpe,1046,46.22006,13.99055,vrh,267663,67,1131.,10,2
101484,Lovčev bivak Pri Koucah,Slovenija,Julijske Alpe,1192,46.2306,13.9959, ,218721,62,1315.,4,2
101486,Vrh Bače,Slovenija,Julijske Alpe,1273,46.2367,13.9808,sedlo,390764,80,680.,11,3
101498,Nemške glave,Italija,Julijske Alpe,1597,46.40844,13.57477,vrh,304413,71,996.,2,1
10150,Krn,Slovenija,Julijske Alpe,2244,46.26607,13.65862,vrh,1020360,100,12.,23,13
10151,Mala Tičarica,Slovenija,Julijske Alpe,2071,46.3202,13.78512,vrh,575896,95,179.,14,4
101517,Rudnica,Slovenija,Julijske Alpe,946,46.28545,13.92079,vrh,462842,87,440.,14,8
101527,Planina Ravna,Italija,Julijske Alpe,1515,46.4851,13.467,"bivak, planina, cerkev",182810,58,1454.,10,2
101528,Planina Strehica,Italija,Julijske Alpe,1359,46.4876,13.4552,planina,157866,55,1551.,9,2
101529,Veliki Nabojs / Monte Nabois grande,Italija,Julijske Alpe,2313,46.43913,13.48831,vrh,401732,81,642.,9,2
10153,Tolminski Kuk,Slovenija,Julijske Alpe,2085,46.2605,13.7568,vrh,555734,94,219.,11,11
101530,Rifugio Pellarini,Italija,Julijske Alpe,1499,46.44064,13.50833,koča,276787,68,1096.,2,1
101536,Javoršček,Slovenija,Julijske Alpe,1557,46.3141,13.5976,vrh,395858,81,663.,5,2
101537,Dom na Matajure,Italija,Julijske Alpe,1545,46.20924,13.52503,koča,365438,78,761.,2,2
101538,Vrh nad Vodeno Rupo,Slovenija,Julijske Alpe,1995,46.3261,13.7915,vrh,203587,60,1374.,3,1
101539,Vrh Hribaric,Slovenija,Julijske Alpe,2388,46.34948,13.8178,vrh,363791,78,769.,4,4
101540,Vršaki (Vzhodni vrh),Slovenija,Julijske Alpe,2448,46.3507,13.808,vrh,325905,74,909.,5,4
101541,Vršaki (Srednji vrh),Slovenija,Julijske Alpe,2424,46.3496,13.8053,vrh,310583,72,965.,3,2
101542,Vršaki (Vrh za Koritami),Slovenija,Julijske Alpe,2422,46.3488,13.8029,vrh,216132,62,1323.,2,2
101543,Vršaki (Južni vrh),Slovenija,Julijske Alpe,2431,46.3475,13.8024,vrh,248993,65,1202.,3,2
101544,Kanjavec (Zahodni vrh),Slovenija,Julijske Alpe,2569,46.3601,13.8073,vrh,393860,81,667.,4,4
101545,Teme (Hribarice),Slovenija,Julijske Alpe,2495,46.3575,13.8044,vrh,363220,78,775.,3,2
101546,Poprovec,Slovenija,Julijske Alpe,2496,46.35583,13.80273,vrh,371091,78,745.,7,3
101547,Planina Blato,Slovenija,Julijske Alpe,1147,46.314,13.8491,planina,548280,93,235.,4,1
10155,Cmir,Slovenija,Julijske Alpe,2393,46.40065,13.86007,vrh,544155,93,242.,11,4
101553,Velika Bavha / Monte Robon,Italija,Julijske Alpe,1980,46.38591,13.5137,vrh,318141,73,939.,3,3
101554,Speleološki bivak Modonutti - Savoia,Italija,Julijske Alpe,1908,46.3845,13.5155,"bivak, sedlo",220406,62,1305.,4,3
10156,Planina Dedno Polje,Slovenija,Julijske Alpe,1560,46.31511,13.81189,planina,466480,88,423.,12,3
101562,Strma peč / Monte Cimone,Italija,Julijske Alpe,2380,46.42387,13.38607,vrh,432281,84,541.,11,2
10157,Planina Ovčarija,Slovenija,Julijske Alpe,1660,46.30959,13.79581,planina,444068,85,502.,7,4
10158,Orožnova koča na planini za Liscem,Slovenija,Julijske Alpe,1346,46.24172,13.93748,"koča, planina",561255,94,206.,9,4
101584,Izvir Bohinjske Bistrice,Slovenija,Julijske Alpe,630,46.25617,13.92326,slap,300798,71,1011.,4,1
101589,Ribenska gora,Slovenija,Julijske Alpe,588,,,vrh,182583,58,1456.,4,1
101590,Rdeči rob,Slovenija,Julijske Alpe,1913,46.25016,13.69624,vrh,386707,80,693.,8,3
101591,Planina Črča,Slovenija,Julijske Alpe,800,46.2359,13.7113,planina,196957,59,1399.,2,1
101592,Planina Laška seč,Slovenija,Julijske Alpe,1000,46.2353,13.7055,planina,235641,64,1251.,3,1
101593,Planina Medrja,Slovenija,Julijske Alpe,1133,46.2329,13.7013,planina,215156,61,1330.,3,1
101594,Planina Sleme,Slovenija,Julijske Alpe,1448,46.2429,13.6918,"planina, sedlo",368416,78,754.,3,2
101595,Srednji vrh (nad jezerom v Lužnici),Slovenija,Julijske Alpe,2032,46.2609,13.6767,vrh,343239,75,847.,4,3
101601,Planina Dobrenjščica,Slovenija,Julijske Alpe,1304,46.2643,13.7384,planina,283848,69,1068.,9,2
101604,Planina v Plazeh,Slovenija,Julijske Alpe,1548,46.352,13.7317,"planina, sedlo",244122,65,1221.,5,2
101605,Čisti vrh,Slovenija,Julijske Alpe,1875,46.3556,13.7523,vrh,390208,80,682.,3,1
101612,Šmarjetna glava,Slovenija,Julijske Alpe,2358,46.36433,13.82715,vrh,391812,80,678.,4,4
101614,Vrh Leh,Slovenija,Julijske Alpe,1958,46.35786,13.64824,vrh,207057,60,1362.,3,1
101615,Pri Banderi,Slovenija,Julijske Alpe,1974,46.35512,13.64484,vrh,202808,60,1378.,4,1
101616,Vrh Ovčje planje,Slovenija,Julijske Alpe,1965,46.35453,13.64104,vrh,259972,66,1159.,7,1
101618,Planina nad Sočo,Slovenija,Julijske Alpe,1400,46.3522,13.6587,planina,277722,68,1091.,4,1
10162,Dom pri Krnskih jezerih,Slovenija,Julijske Alpe,1385,46.28869,13.69618,"koča, bivak",570101,94,193.,6,2
101621,Vevnica,"Italija, Slovenija",Julijske Alpe,2342,46.43963,13.68566,vrh,477097,89,394.,2,1
101622,Strug,"Italija, Slovenija",Julijske Alpe,2265,46.4441,13.6939,vrh,391907,80,677.,3,1
101623,Spodnji Stenar,Slovenija,Julijske Alpe,2356,46.40552,13.81764,vrh,319032,73,936.,2,1
101624,Krsteniški Stog,Slovenija,Julijske Alpe,1879,46.33102,13.84955,vrh,319165,73,935.,8,2
101625,Krnčica,Slovenija,Julijske Alpe,2142,46.28178,13.65087,vrh,458916,87,449.,13,3
101626,Rigeljc,Slovenija,Julijske Alpe,1768,46.30152,13.79966,vrh,212579,61,1342.,2,1
101627,Stadorski Orliči,Slovenija,Julijske Alpe,1782,46.30215,13.80323,vrh,212265,61,1343.,5,1
101628,Vrtec,Slovenija,Julijske Alpe,1809,46.30517,13.8063,vrh,274753,68,1101.,4,1
101629,Špik nad Planjo / Punta Plagnis,Italija,Julijske Alpe,2411,46.41479,13.48343,vrh,308243,72,978.,10,1
10163,Krnsko jezero,Slovenija,Julijske Alpe,1391,46.2857,13.68434,"jezero, planina",833179,99,39.,11,2
101634,Vrh Krnega dola / Monte Cregnedul,Italija,Julijske Alpe,2351,46.41377,13.48543,vrh,269291,67,1125.,5,1
101639,Škednjovec,Slovenija,Julijske Alpe,2309,46.34948,13.82337,vrh,401731,81,643.,17,2
10164,Pogačnikov dom na Kriških podih,Slovenija,Julijske Alpe,2050,46.40273,13.80077,"vrh, koča, bivak",881227,99,30.,8,4
10165,Spodnje Kriško jezero,Slovenija,Julijske Alpe,1880,46.39903,13.80185,jezero,446565,86,488.,5,1
101682,Plesišče,Slovenija,Julijske Alpe,1790,46.353,13.905,vrh,301110,71,1009.,2,1
101684,Visoka glava,Slovenija,Julijske Alpe,1822,46.3152,13.8012,vrh,201959,60,1384.,4,1
101699,Mesnovec,Slovenija,Julijske Alpe,1538,46.3372,13.9446,vrh,274589,68,1103.,1,1
1017,Glava v Zaplanji,Slovenija,Julijske Alpe,2556,46.37731,13.82801,vrh,448011,86,483.,3,4
10171,Jezero v Ledvicah,Slovenija,Julijske Alpe,1831,46.3402,13.78252,jezero,478596,89,389.,11,3
10172,Rjavo jezero,Slovenija,Julijske Alpe,2006,46.35541,13.79558,jezero,452991,87,464.,8,4
10173,Zeleno jezero,Slovenija,Julijske Alpe,1988,46.35125,13.79484,jezero,462393,87,442.,8,4
10175,Zasavska koča na Prehodavcih,Slovenija,Julijske Alpe,2071,46.35856,13.79209,"vrh, koča, bivak",760422,98,55.,9,7
101755,Rušni vrh,Slovenija,Julijske Alpe,1786,46.2326,13.9373,vrh,211490,61,1346.,3,10
101757,Kozlov rob,Slovenija,Julijske Alpe,426,46.1893,13.7254,vrh,379588,79,717.,8,2
101772,Planina Pretovč,Slovenija,Julijske Alpe,1160,46.22563,13.6942,"planina, sedlo",253121,66,1185.,3,2
101773,Mrzli vrh nad planino Pretovč,Slovenija,Julijske Alpe,1359,46.2188,13.69596,vrh,438488,85,524.,9,3
101775,Italijanska vojaška kapela na Planici,Slovenija,Julijske Alpe,1220,46.2427,13.6428,cerkev,264645,67,1142.,3,2
101776,Planica pod Krnom,Slovenija,Julijske Alpe,1376,46.2485,13.64,vrh,226311,63,1281.,1,2
101783,Dobra gora,Slovenija,Julijske Alpe,620,46.3542,14.1095,vrh,297122,70,1021.,4,1
101786,Kovinarska koča v Krmi,Slovenija,Julijske Alpe,870,46.4005,13.9235,"koča, planina",369317,78,749.,4,3
101787,Planina Rčitno,Slovenija,Julijske Alpe,900,46.3566,14.0404,planina,272231,68,1112.,16,4
101788,Draški rob,Slovenija,Julijske Alpe,1979,46.3659,13.8971,vrh,341099,75,856.,8,2
1018,Prisank / Prisojnik,Slovenija,Julijske Alpe,2547,46.42464,13.76974,vrh,929219,99,21.,17,12
101811,Grančišče,Slovenija,Julijske Alpe,844,46.4589,13.9328,vrh,296040,70,1024.,11,4
101812,Požgana Mlinarica,Slovenija,Julijske Alpe,1868,46.4079,13.8794,vrh,358619,77,793.,6,3
101814,Lengarjeva glava,Slovenija,Julijske Alpe,1498,46.42482,13.89332,vrh,167647,56,1512.,1,1
101815,Požar,Slovenija,Julijske Alpe,1543,46.42047,13.88618,vrh,210331,61,1352.,1,2
10184,Kosijev dom na Vogarju,Slovenija,Julijske Alpe,1054,46.29671,13.867,"koča, planina",537067,93,255.,3,1
101880,Skutnik/Torre Guarda,"Italija, Slovenija",Julijske Alpe,1860,46.43403,13.59007,vrh,321063,73,924.,13,1
101887,Planina za Migovcem,Slovenija,Julijske Alpe,1600,46.2615,13.787,planina,233213,63,1260.,3,5
101888,Zeleni vrh,Slovenija,Julijske Alpe,2052,46.2608,13.7635,vrh,358187,77,795.,13,7
101898,Orlove glave,Slovenija,Julijske Alpe,1682,46.2494,13.8372,vrh,429995,84,547.,4,1
101899,Planina Zadnji Vogel,Slovenija,Julijske Alpe,1413,46.2502,13.8277,planina,389092,80,686.,4,2
1019,Rogljica,Slovenija,Julijske Alpe,2547,46.42769,13.81231,vrh,403755,82,632.,5,1
101900,Visoki Orlov rob,Slovenija,Julijske Alpe,1800,46.2415,13.8365,vrh,280093,68,1086.,2,2
101902,Vrh Dlani,Slovenija,Julijske Alpe,1852,46.239,13.8298,vrh,222497,62,1298.,2,1
101928,Sveti Lenart (Bača pri Podbrdu),Slovenija,Julijske Alpe,751,46.2219,13.9723,cerkev,182996,58,1453.,4,1
101930,Snežna jama na Mežakli,Slovenija,Julijske Alpe,1130,46.4156,14.0566, ,316137,73,946.,4,1
101939,Koča pri Peričniku,Slovenija,Julijske Alpe,750,46.4385,13.8962,koča,296689,70,1022.,2,2
10197,Luknja,Slovenija,Julijske Alpe,1758,46.38798,13.81486,sedlo,477903,89,391.,6,2
10198,Koča pod Bogatinom,Slovenija,Julijske Alpe,1513,46.28775,13.76333,"koča, planina",576289,95,177.,12,3
101989,Planina Vodični vrh,Slovenija,Julijske Alpe,1486,46.3015,13.8437,planina,308561,72,976.,4,1
101996,Planina Zajamniki,Slovenija,Julijske Alpe,1280,46.3127,13.9344,"koča, planina",724597,98,68.,9,3
102,Škrlatica,Slovenija,Julijske Alpe,2740,46.43277,13.82114,vrh,833203,99,40.,23,5
102003,Frdamane police,Slovenija,Julijske Alpe,2284,46.45296,13.80735,vrh,395087,81,666.,13,1
10203,Dom Valentina Staniča pod Triglavom,Slovenija,Julijske Alpe,2332,46.38703,13.85984,"koča, bivak",587423,95,161.,12,10
10204,Koča na Soriški planini,Slovenija,Julijske Alpe,1306,46.24,14.00737,"koča, planina",552978,93,227.,7,4
10205,Možic,Slovenija,Julijske Alpe,1602,46.24182,13.99482,vrh,585745,95,164.,11,8
10206,Koča v Krnici,Slovenija,Julijske Alpe,1113,46.43236,13.78762,koča,641914,97,118.,7,3
102072,Vodnikov Vršac (Vršac nad Zadnjico),Slovenija,Julijske Alpe,2194,46.36306,13.79715,vrh,361919,77,783.,17,5
10210,Zavetišče pod Špičkom,Slovenija,Julijske Alpe,2064,46.41015,13.67785,"koča, bivak",547344,93,238.,3,4
102101,Planina na Kalu,Slovenija,Julijske Alpe,1490,46.2422,13.7558,"bivak, planina",281820,69,1075.,16,7
102102,Tolminski Migovec,Slovenija,Julijske Alpe,1868,46.24629,13.76239,vrh,434444,84,537.,8,2
10211,Bivak na Jezerih,Slovenija,Julijske Alpe,2118,46.43367,13.83861,bivak,429832,84,549.,1,1
102138,Vošni vrh,Slovenija,Julijske Alpe,1621,46.4128,13.9439,vrh,180718,58,1464.,2,1
102139,Frčkova planina,Slovenija,Julijske Alpe,1335,46.4231,13.9504,planina,188233,58,1434.,3,1
102152,Nizki vrh,Slovenija,Julijske Alpe,1488,46.2916,13.3902,vrh,215724,62,1325.,13,1
102153,Brezje / Montemaggiore,Italija,Julijske Alpe,819,46.2681,13.37, ,145052,54,1599.,2,1
102154,Klatnica,Slovenija,Julijske Alpe,1000,46.2794,13.417, ,215405,62,1326.,4,1
102157,Izvir Bele,Slovenija,Julijske Alpe,665,46.2712,13.4257, ,226259,63,1282.,2,1
10216,Bivak na Rušju,Slovenija,Julijske Alpe,1980,46.41748,13.8199,bivak,455570,87,456.,4,1
10218,Spodnji Martuljkov slap,Slovenija,Julijske Alpe,850,46.47233,13.82839,slap,324773,74,913.,1,1
102185,Lovska koča na Glinu,Slovenija,Julijske Alpe,1527,46.2411,13.8684,vrh,162148,56,1531.,2,5
10219,Ingotova koča na planini Jesenje,Slovenija,Julijske Alpe,930,46.4698,13.83131,"koča, planina, cerkev",429857,84,548.,3,2
1022,Dovški križ,Slovenija,Julijske Alpe,2542,46.44081,13.8422,vrh,543702,93,243.,4,2
10220,Zgornji Martuljkov slap,Slovenija,Julijske Alpe,1150,46.46112,13.83886,slap,418253,83,585.,2,2
