id,začetna točka,čas,zahtevnost
101042,Cave del Mole,2 h,delno zahtevna označena pot
101042,Bele vode / Rio Bianco,4 h,delno zahtevna označena pot
101043,Bele vode,2 h 30 min,lahka označena pot
101045,NC Planica,2 h 30 min,lahka neoznačena steza
101045,Rateče,2 h 50 min,lahka neoznačena steza
101046,Belopeška jezera,2 h 45 min,zahtevna označena pot
101046,NC Planica,3 h 10 min,zahtevna neoznačena steza
101046,Rateče,3 h 30 min,zahtevna neoznačena steza
101047,Belopeška jezera,2 h,lahka označena pot
101048,Belopeška jezera,1 h 15 min,lahka označena pot
101049,Most Boka,1 h 45 min,zahtevna označena pot
10105,Zadnjica,6 h 25 min,lahka neoznačena steza
10105,Zadnjica,6 h 10 min,"zelo zahtevna označena pot, lahka neoznačena steza"
10105,Planina Blato,6 h 55 min,lahka neoznačena steza
101050,Dom v Tamarju,3 h 15 min,zahtevna označena pot
101050,Belopeška jezera,3 h 45 min,zelo zahtevna označena pot
101051,Dom v Tamarju,4 h,zelo zahtevna označena pot
101051,Belopeška jezera,4 h 30 min,zelo zahtevna označena pot
101052,Aljažev dom v Vratih,4 h 30 min,zahtevno brezpotje
101052,Aljažev dom v Vratih,5 h,zahtevna označena pot
101052,Zadnjica,5 h 15 min,zahtevna označena pot
101052,Zadnjica,5 h 15 min,zahtevno brezpotje
101053,Pecol,2 h 45 min,lahka neoznačena steza
101053,Pecol,4 h 30 min,zelo zahtevna označena pot
101054,Dom v Lepeni,4 h,lahka označena pot
101054,Koča pri Savici,6 h 40 min,lahka označena pot
101055,Dom v Lepeni,4 h 30 min,lahko brezpotje
101055,Dom v Lepeni,4 h 30 min,lahko brezpotje
101056,Belopeška jezera,3 h 15 min,zahtevna označena pot
101057,Pod Zjabci,4 h 45 min,"zahtevna neoznačena steza, lahko brezpotje"
101058,Pod Zjabci,5 h 45 min,zahtevno brezpotje
101059,Pod Zjabci,2 h 15 min,lahka označena pot
10106,Zadnjica,6 h 45 min,zahtevno brezpotje
101060,Dolina Kot,3 h,zahtevna neoznačena steza
101060,Kosmačev preval,5 h 15 min,zahtevna neoznačena steza
101062,Poldov  rovt,4 h 45 min,zahtevna neoznačena steza
101062,Poldov  rovt,4 h 30 min,zahtevna neoznačena steza
101096,Gozd Martuljek,3 h,lahka neoznačena steza
101096,Jasna,3 h,zahtevna neoznačena steza
101097,Gozd Martuljek,2 h,zahtevna označena pot
101098,Javorje,2 h 20 min,lahko brezpotje
101098,Ribčev Laz,3 h 50 min,lahko brezpotje
101099,Pod Debelo glavo,2 h 25 min,lahko brezpotje
101099,Javorje,3 h 45 min,lahka neoznačena steza
101099,Pod Debelo glavo,2 h 40 min,lahko brezpotje
101099,Rutarski gozd,3 h 30 min,lahka neoznačena steza
101099,Vodel,2 h 45 min,lahko brezpotje
101099,Grant,4 h 30 min,lahko brezpotje
101100,Pod Debelo glavo,55 min,lahka neoznačena steza
101100,Javorje,3 h 15 min,lahka neoznačena steza
101100,Pod Debelo glavo,1 h 10 min,lahka neoznačena steza
101100,Vodel,1 h 15 min,lahka neoznačena steza
101101,Pod Luknjo,1 h 15 min,lahka označena pot
101101,Polje,2 h 30 min,lahka označena pot
101102,Pod Luknjo,3 h,"delno zahtevna označena pot, lahko brezpotje"
101102,Polje,4 h 15 min,"delno zahtevna označena pot, lahko brezpotje"
101102,Ravne,3 h 55 min,"delno zahtevna označena pot, lahko brezpotje"
101102,Podbrdo,4 h 5 min,delno zahtevna označena pot
101103,Pod Luknjo,3 h 15 min,"delno zahtevna označena pot, lahko brezpotje"
101103,Polje,4 h 30 min,"delno zahtevna označena pot, lahko brezpotje"
101103,Ravne,4 h 10 min,"delno zahtevna označena pot, lahko brezpotje"
101103,Podbrdo,4 h 20 min,"delno zahtevna označena pot, lahko brezpotje"
101104,Pod Luknjo,3 h 30 min,"delno zahtevna označena pot, lahko brezpotje"
101104,Polje,4 h 45 min,delno zahtevna označena pot
101104,Ravne,4 h 25 min,"delno zahtevna označena pot, lahko brezpotje"
101104,Podbrdo,4 h 35 min,"delno zahtevna označena pot, lahko brezpotje"
101105,Pod Luknjo,3 h 50 min,"delno zahtevna označena pot, lahko brezpotje"
101105,Polje,5 h 5 min,"delno zahtevna označena pot, lahko brezpotje"
101105,Podbrdo,4 h 55 min,"delno zahtevna označena pot, lahko brezpotje"
101105,Ravne,4 h 45 min,"delno zahtevna označena pot, lahko brezpotje"
101106,Javorje,3 h 45 min,lahko brezpotje
101106,Javorje,3 h 30 min,lahko brezpotje
101106,Rutarski gozd,3 h 30 min,lahko brezpotje
101106,Grant,4 h 30 min,lahko brezpotje
101107,Javorje,3 h 30 min,lahko brezpotje
101107,Rutarski gozd,3 h 15 min,lahko brezpotje
101107,Javorje,3 h 15 min,lahko brezpotje
101107,Grant,4 h 15 min,lahko brezpotje
101108,Ski hotel Vogel,4 h,lahko brezpotje
101108,Ribčev Laz,7 h,lahko brezpotje
101108,Ski hotel Vogel,3 h 30 min,"delno zahtevna označena pot, lahko brezpotje"
101108,Ski hotel Vogel,4 h 50 min,zelo zahtevna označena pot
101108,Ukanc,5 h 20 min,lahko brezpotje
101109,Ski hotel Vogel,3 h 30 min,lahko brezpotje
101109,Ribčev Laz,6 h 30 min,lahko brezpotje
101109,Ukanc,4 h 50 min,lahko brezpotje
101114,Rutarski gozd,2 h,lahka neoznačena steza
101114,Grant,2 h 45 min,lahka neoznačena steza
101114,Stržišče,3 h 30 min,lahka neoznačena steza
101121,Aljažev dom v Vratih,4 h 45 min,lahko brezpotje
101121,Pišnica,5 h 35 min,"zelo zahtevna označena pot, lahko brezpotje"
101121,Ruski križ,5 h,"zelo zahtevna označena pot, lahko brezpotje"
101124,Pri Rupah,1 h 55 min,lahka označena pot
101124,Rudno polje,2 h 55 min,lahka označena pot
101124,Dolina Krma,2 h 55 min,zahtevna označena pot
101126,Poljubinj,30 min,zahtevna označena pot
1012,D Postaja,2 h 30 min,zelo zahtevna označena pot
1012,Nevejski preval,4 h 45 min,zelo zahtevna označena pot
1012,Gozdec,6 h,zelo zahtevna označena pot
1012,Nevejski preval,6 h 15 min,zelo zahtevna označena pot
1012,Gozdec,6 h 50 min,zelo zahtevna označena pot
101240,Koča na planini Stador,1 h 15 min,lahka označena pot
101240,Planina Lom,1 h 15 min,lahka neoznačena steza
101241,Koča na planini Stador,1 h 30 min,lahka neoznačena steza
101241,Planina Lom,1 h 30 min,lahka neoznačena steza
101242,Koča na planini Stador,20 min,lahka označena pot
101243,Koča na planini Stador,20 min,lahka označena pot
101249,Velika Zaka,40 min,lahka označena pot
101249,Velika Zaka,25 min,delno zahtevna označena pot
101250,Želeče,30 min,lahka označena pot
101253,Poljšica pri Gorjah,5 min,lahka označena pot
101254,Kočna,1 h 15 min,lahka označena pot
101254,Spodnje Gorje,1 h 5 min,lahka neoznačena steza
101254,Kočna ,1 h,lahka označena pot
101255,Kočna,25 min,lahka označena pot
101256,Podmežakla,1 h 40 min,lahka označena pot
101256,Podmežakla,1 h 40 min,zahtevno brezpotje
101260,Podmežakla,1 h 40 min,lahka označena pot
101266,Koča na Gozdu,2 h,zahtevna neoznačena steza
101266,2. serpentina vršiške ceste,2 h 45 min,zahtevna neoznačena steza
101267,Koča na Gozdu,1 h 15 min,lahka neoznačena steza
101267,2. serpentina vršiške ceste,2 h,lahka neoznačena steza
101270,Krnica,1 h,lahka označena pot
101278,Rabelj/Cave del Predil,2 h 30 min,delno zahtevna označena pot
101280,Rabelj / Cave del Predil,2 h 45 min,lahka označena pot
101280,Remšendol,3 h,delno zahtevna označena pot
101280,Mangartska planina,2 h 20 min,lahka označena pot
101280,Mangartska planina,2 h 35 min,lahka neoznačena steza
101281,Remšendol,2 h,delno zahtevna označena pot
101282,Nevejski preval,4 h 30 min,zahtevna označena pot
101282,Cave del Mole,4 h,zahtevna označena pot
101282,Cave del Mole,4 h,zahtevna označena pot
101283,Cave del Mole,1 h 15 min,lahka označena pot
1013,D Postaja,2 h 45 min,zelo zahtevna označena pot
10132,Koča pri Savici,1 h 30 min,zahtevna označena pot
10132,Koča pri  Savici,3 h 45 min,lahka označena pot
10132,Planina Blato,2 h 40 min,lahka označena pot
101326,Vršič,3 h 15 min,zahtevno brezpotje
101326,Vršič,3 h 5 min,"delno zahtevna označena pot, zahtevno brezpotje"
101327,Vršič,4 h 30 min,zahtevno brezpotje
101327,Vršič,4 h 20 min,"delno zahtevna označena pot, zahtevno brezpotje"
101328,Vršič,4 h 45 min,zahtevno brezpotje
101328,Vršič,4 h 35 min,"delno zahtevna označena pot, zahtevno brezpotje"
101329,Vršič,1 h,lahka neoznačena steza
101329,Erjavčeva koča na Vršiču,1 h 10 min,lahka neoznačena steza
10133,Planina Blato,3 h 15 min,lahka označena pot
10133,Koča pri Savici,3 h,zahtevna označena pot
10133,Planina Blato,3 h 15 min,delno zahtevna označena pot
10133,Koča pri Savici,5 h,lahka označena pot
10133,Konec ceste na Vogar,3 h 20 min,lahka označena pot
10133,Stara Fužina,5 h,delno zahtevna označena pot
10133,Konec ceste na Vogar,3 h 20 min,delno zahtevna označena pot
10133,Pod Zjabci,5 h 45 min,lahka označena pot
101331,Plužna,30 min,delno zahtevna neoznačena pot
101332,Čezsoča,1 h 30 min,lahka neoznačena steza
101332,Počivalnik,1 h 45 min,zahtevna neoznačena steza
101337,Most Boka,15 min,lahka neoznačena steza
101338,Planina Zajzera,2 h,lahka označena pot
101338,Planina Zajzera,2 h 30 min,lahka označena pot
101339,Pecol,2 h 45 min,zelo zahtevna označena pot
101339,Planina Zajzera,5 h 45 min,zelo zahtevna označena pot
101342,Pecol,3 h 45 min,zelo zahtevna označena pot
101342,Nevejski preval,6 h,zelo zahtevna označena pot
101344,Pecol,3 h 10 min,zelo zahtevna neoznačena steza
101346,Magozd,5 h 30 min,delno zahtevna neoznačena pot
101347,Zadnjica,2 h 30 min,lahka neoznačena steza
101348,Zadnjica,5 h 30 min,lahko brezpotje
101348,Aljažev dom v Vratih,6 h,"delno zahtevna označena pot, lahko brezpotje"
101349,Zadnjica,5 h 15 min,zahtevno brezpotje
101349,Aljažev dom v Vratih,5 h 45 min,"delno zahtevna označena pot, zahtevno brezpotje"
101368,Bele vode,2 h 30 min,delno zahtevna označena pot
10137,Konec ceste na Pokljuki,30 min,lahka označena pot
10137,Rudno polje,1 h,"lahka označena pot, lahka neoznačena steza"
10137,Uskovnica,1 h 5 min,lahka označena pot
10137,Uskovnica,1 h 25 min,lahka označena pot
10137,Srednja vas,2 h 50 min,lahka označena pot
101370,Bavšica,5 h,zahtevna neoznačena steza
101371,Koča pri Savici,4 h 35 min,lahka neoznačena steza
101371,Planina Polog,4 h 35 min,lahko brezpotje
101372,Koča pri Savici,4 h 30 min,lahka označena pot
101372,Planina Polog,4 h 30 min,lahko brezpotje
101373,Nevejski preval,5 h 15 min,zelo zahtevna označena pot
101374,Nevejski preval,2 h 45 min,zahtevna označena pot
101375,Bavšica,1 h 30 min,lahka označena pot
101376,Bavšica,1 h 50 min,lahka označena pot
101377,Loška Koritnica,3 h 45 min,"zelo zahtevna označena pot, delno zahtevna neoznačena pot"
101377,Bavšica,4 h 30 min,delno zahtevna neoznačena pot
101379,Bavšica,5 h,"zelo zahtevna označena pot, zelo zahtevno brezpotje"
10138,Konec ceste na Pokljuki,2 h,lahka označena pot
101380,Gozd Martuljek,3 h,"zahtevna označena pot, lahka neoznačena steza"
101380,Lengar,3 h,"delno zahtevna neoznačena pot, lahko brezpotje"
101381,Gozd Martuljek,5 h,zelo zahtevno brezpotje
101382,Gozd Martuljek,6 h 30 min,zelo zahtevno brezpotje
101383,Dolina Krma,4 h 45 min,lahko brezpotje
101383,Konec ceste na Pokljuki,4 h 45 min,"zahtevna označena pot, lahko brezpotje"
101383,Uskovnica,5 h 15 min,"zahtevna označena pot, lahko brezpotje"
101384,Gozd Martuljek,4 h 30 min,"zahtevna neoznačena steza, lahko brezpotje"
101385,Gozd Martuljek,3 h 40 min,zelo zahtevna neoznačena steza
101388,Konec ceste na Pokljuki,4 h 15 min,zelo zahtevno brezpotje
101388,Dolina Krma,4 h 30 min,zelo zahtevno brezpotje
101388,Stara Fužina,6 h,zelo zahtevno brezpotje
101388,Planina Blato,5 h,zelo zahtevno brezpotje
101388,Uskovnica,4 h 45 min,zelo zahtevno brezpotje
101388,Uskovnica,4 h 50 min,zelo zahtevno brezpotje
101388,Srednja vas,6 h 15 min,zelo zahtevno brezpotje
10139,Konec ceste na Pokljuki,3 h,lahka označena pot
10139,Rudno polje,3 h 20 min,lahka označena pot
10139,Dolina Krma,3 h 30 min,lahka označena pot
10139,Stara Fužina,4 h 45 min,lahka označena pot
10139,Uskovnica,3 h 30 min,zahtevna označena pot
10139,Planina Blato,3 h 45 min,lahka neoznačena steza
10139,Uskovnica,3 h 35 min,zahtevna označena pot
10139,Srednja vas,5 h,zahtevna označena pot
101393,Breginj,1 h 15 min,lahka označena pot
101394,Breginj,3 h,delno zahtevna označena pot
101395,Brezje / Montemaggiore,3 h,lahka označena pot
101395,Breginj,5 h,delno zahtevna označena pot
1014,Zadnjica,6 h 15 min,lahka označena pot
1014,Planina Blato,5 h 45 min,lahka označena pot
1014,Koča pri Savici,6 h,zahtevna označena pot
1014,Zadnjica,6 h 15 min,zahtevna označena pot
1014,Planina Blato,5 h 45 min,lahko brezpotje
1014,Planina Blato,6 h 15 min,lahko brezpotje
1014,Planina Blato,6 h,lahko brezpotje
1014,Aljažev dom v Vratih,7 h 10 min,zahtevna označena pot
1014,Aljažev dom v Vratih,7 h 10 min,lahka označena pot
10140,Planina Blato,1 h,lahka označena pot
10140,Stara Fužina,2 h 45 min,lahka označena pot
10140,Planina Blato,2 h 30 min,lahka označena pot
10140,Planina Blato,1 h,lahka označena pot
10140,Stara Fužina,3 h 15 min,lahka označena pot
10140,Koča pri Savici,3 h 20 min,zahtevna označena pot
101406,Breginj,25 min,lahka označena pot
101440,Zgornji Goreljek,1 h 30 min,lahka označena pot
101475,Podbrdo,1 h,lahka označena pot
101482,Petrovo Brdo,45 min,lahka označena pot
101482,Podbrdo,1 h 35 min,lahka označena pot
101484,Petrovo Brdo,1 h,lahka označena pot
101484,Podbrdo,1 h 55 min,lahka označena pot
101486,Petrovo Brdo,1 h 30 min,lahka označena pot
101486,Bohinjsko sedlo,1 h 50 min,lahka označena pot
101486,Podbrdo,2 h 15 min,lahka označena pot
101498,Predel,1 h 30 min,delno zahtevna neoznačena pot
10150,Planina Kuhinja,3 h 15 min,lahka označena pot
10150,Dom v Lepeni,5 h,lahka označena pot
10150,Drežnica,5 h,zelo zahtevna označena pot
10150,Koča pri Savici,7 h 45 min,lahka označena pot
10150,Planina Kuhinja,4 h 45 min,delno zahtevna označena pot
10150,Drežnica,5 h,lahka označena pot
10150,Koča na planini Kuhinja,3 h 10 min,lahka označena pot
10150,Koča pri Savici,7 h 50 min,delno zahtevna označena pot
10150,Krn,5 h 25 min,delno zahtevna označena pot
10150,Planina Polog,6 h 45 min,delno zahtevna označena pot
10150,Planina Polog,6 h 30 min,delno zahtevna označena pot
10150,Tolminske Ravne,7 h 30 min,zahtevna označena pot
10151,Planina Blato,3 h 30 min,lahka označena pot
10151,Koča pri Savici,4 h,zahtevna označena pot
10151,Konec ceste na Vogar,3 h 35 min,lahka označena pot
10151,Planina Blato,3 h 30 min,lahko brezpotje
101517,Brod,1 h 15 min,lahka označena pot
101517,Stara Fužina,1 h 40 min,lahka označena pot
101517,Jezersko polje,1 h 45 min,lahka označena pot
101517,Srednja vas,1 h 30 min,lahka neoznačena steza
101517,Savica,1 h 15 min,lahka označena pot
101517,Brod,1 h 25 min,lahka označena pot
101517,Bohinjska Češnjica,1 h 30 min,lahka neoznačena steza
101517,Savica,1 h 25 min,lahka označena pot
101527,Ovčja vas / Valbruna,2 h,lahka označena pot
101527,Naborjet / Malborghetto,2 h 45 min,lahka označena pot
101528,Ovčja vas / Valbruna,2 h,lahka označena pot
101528,Naborjet / Malborghetto,2 h,lahka označena pot
101529,Zajzera,4 h 30 min,zelo zahtevna označena pot
101529,Zajzera,4 h 30 min,zelo zahtevna označena pot
10153,Planina Kuk,4 h 30 min,delno zahtevna označena pot
10153,Koča pri Savici,6 h 15 min,zahtevna označena pot
10153,Koča pri Savici,5 h 45 min,zahtevna neoznačena steza
10153,Koča pri Savici,6 h 45 min,delno zahtevna označena pot
10153,Tolminske Ravne,4 h 45 min,zahtevna označena pot
10153,Tolminske Ravne,4 h,lahka označena pot
10153,Ski hotel Vogel,5 h 35 min,delno zahtevna označena pot
10153,Ukanc,5 h 30 min,"lahka neoznačena steza, delno zahtevna označena pot"
10153,Planina Polog,6 h 15 min,"lahko brezpotje, zahtevna označena pot"
10153,Kneške Ravne,6 h 15 min,"lahka neoznačena steza, delno zahtevna označena pot"
10153,Tolminske Ravne,4 h 35 min,delno zahtevna označena pot
101530,Zajzera,2 h,lahka označena pot
101536,Jablenca,3 h,"lahka neoznačena steza, lahka označena pot"
101536,Počivalnik,3 h,zahtevna neoznačena steza
101537,Rifugio Pelizzo,40 min,lahka označena pot
101537,Avsa,2 h 30 min,lahka označena pot
101538,Planina Blato,3 h,lahko brezpotje
101539,Planina Blato,5 h,lahko brezpotje
101539,Zadnjica,6 h,lahko brezpotje
101539,Planina Blato,5 h 15 min,lahko brezpotje
101539,Koča pri Savici,6 h,"zahtevna označena pot, lahko brezpotje"
101540,Planina Blato,5 h,lahko brezpotje
101540,Koča pri Savici,6 h,"zahtevna označena pot, lahko brezpotje"
101540,Planina Blato,5 h 15 min,lahko brezpotje
101540,Zadnjica,6 h 15 min,lahko brezpotje
101541,Planina Blato,5 h 35 min,lahko brezpotje
101541,Planina Blato,5 h 20 min,lahko brezpotje
101542,Planina Blato,5 h 55 min,lahko brezpotje
101542,Planina Blato,5 h 40 min,lahko brezpotje
101543,Planina Blato,5 h 50 min,lahko brezpotje
101543,Planina Blato,6 h 5 min,lahko brezpotje
101544,Zadnjica,6 h 15 min,"lahka označena pot, lahka neoznačena steza"
101544,Zadnjica,6 h 30 min,"zahtevna označena pot, lahka neoznačena steza"
101544,Planina Blato,5 h 45 min,lahko brezpotje
101544,Planina Blato,6 h,lahko brezpotje
101545,Planina Blato,6 h 5 min,lahko brezpotje
101545,Planina Blato,6 h 20 min,lahko brezpotje
101546,Zadnjica,6 h 50 min,"zahtevna označena pot, lahko brezpotje"
101546,Planina Blato,6 h 20 min,lahko brezpotje
101546,Planina Blato,6 h 35 min,lahko brezpotje
101547,Planina Blato,7 h,"lahka označena pot, lahka neoznačena steza"
10155,Dolina Kot,6 h,zahtevna označena pot
10155,Aljažev dom v Vratih,6 h 20 min,zelo zahtevna označena pot
10155,Aljažev dom v Vratih,6 h 30 min,zahtevna označena pot
10155,Dolina Krma,7 h 15 min,zahtevna označena pot
101553,Nevejski preval,2 h 40 min,delno zahtevna neoznačena pot
101553,Rifugio Gilberti,2 h 20 min,delno zahtevna neoznačena pot
101553,Nevejski preval,3 h 30 min,delno zahtevna neoznačena pot
101554,Nevejski preval,2 h 20 min,lahka označena pot
101554,Nevejski preval,3 h 10 min,lahka označena pot
101554,Rifugio Gilberti,2 h,lahka označena pot
10156,Planina Blato,1 h 30 min,lahka označena pot
10156,Konec ceste na Vogar,2 h 15 min,lahka označena pot
10156,Konec ceste na Vogar,2 h 15 min,lahka označena pot
101562,Planina Pecol,4 h,zahtevna označena pot
101562,Planina Pecol,4 h 45 min,zahtevna označena pot
10157,Planina Blato,2 h 15 min,lahka označena pot
10157,Konec ceste na Vogar,2 h 10 min,lahka označena pot
10157,Koča pri Savici,3 h 30 min,zahtevna označena pot
10157,Planina Blato,2 h 20 min,lahka označena pot
10158,Ravne,1 h 45 min,lahka označena pot
10158,Bohinjska Bistrica,2 h 20 min,lahka označena pot
10158,Ravne,1 h 50 min,lahka označena pot
10158,Polje,2 h 45 min,lahka označena pot
101584,Bohinjska Bistrica,50 min,lahka označena pot
101589,Kompas hotel Ribno,20 min,lahka označena pot
101590,Dom v Lepeni,5 h 45 min,lahko brezpotje
101590,Planina Polog,5 h,lahka neoznačena steza
101590,Planina Polog,4 h 30 min,"lahka označena pot, delno zahtevna neoznačena pot"
101591,Planina Polog,1 h,lahka označena pot
101592,Planina Polog,1 h 30 min,lahka označena pot
101593,Planina Polog,1 h 50 min,lahka označena pot
101594,Krn,1 h 40 min,lahka označena pot
101594,Planina Polog,2 h 45 min,lahka označena pot
101595,Krn,4 h 10 min,"lahka označena pot, lahko brezpotje"
101595,Planina Polog,5 h 15 min,"lahka označena pot, lahko brezpotje"
101595,Planina Kuninja,3 h 30 min,"lahka označena pot, lahko brezpotje"
101601,Planina Polog,2 h 45 min,lahka označena pot
101601,Tolminske Ravne,3 h,zahtevna označena pot
101604,Vas na Skali,2 h 45 min,lahka neoznačena steza
101604,Vas na Skali,2 h 20 min,lahka neoznačena steza
101605,Vas na Skali,3 h 30 min,lahka neoznačena steza
101612,Konec ceste na Pokljuki,5 h 40 min,zahtevno brezpotje
101612,Zadnjica,6 h,zahtevno brezpotje
101612,Dolina Krma,6 h 10 min,zahtevno brezpotje
101612,Aljažev dom v Vratih,6 h 55 min,zahtevno brezpotje
101614,Soča,3 h 30 min,lahko brezpotje
101615,Soča,3 h 40 min,lahko brezpotje
101616,Soča,3 h 50 min,lahko brezpotje
101618,Soča,2 h 30 min,lahka označena pot
10162,Dom v Lepeni,2 h,lahka označena pot
10162,Koča pri Savici,5 h 20 min,lahka označena pot
101621,Belopeška jezera,6 h,izjemno zahtevna označena pot
101622,Belopeška jezera,9 h,izjemno zahtevna označena pot
101623,Aljažev dom v Vratih,5 h,"delno zahtevna označena pot, lahko brezpotje"
101624,Planina Blato,2 h 15 min,lahka neoznačena steza
101624,Stara Fužina,4 h,lahka neoznačena steza
101625,Planina Zapleč,3 h,delno zahtevna neoznačena pot
101625,Planina Zapleč,4 h,delno zahtevna neoznačena pot
101626,Planina Blato,3 h,lahko brezpotje
101627,Planina Blato,3 h,zahtevno brezpotje
101628,Planina Blato,3 h,lahko brezpotje
101629,Prelaz Na Žlebeh / Sella Nevea,4 h 30 min,delno zahtevna neoznačena pot
10163,Dom v Lepeni,2 h 20 min,lahka označena pot
10163,Koča pri Savici,5 h 5 min,lahka označena pot
101634,Nevejski preval / Sella Nevea,3 h 45 min,delno zahtevna neoznačena pot
101639,Planina Blato,4 h 30 min,zelo zahtevno brezpotje
101639,Planina Blato,5 h,zelo zahtevno brezpotje
10164,Zadnjica,4 h,lahka označena pot
10164,Aljažev dom v Vratih,4 h 30 min,delno zahtevna označena pot
10164,Ruski križ,5 h 10 min,zelo zahtevna označena pot
10164,Pišnica,5 h 45 min,zelo zahtevna označena pot
10165,Zadnjica,3 h 40 min,lahka označena pot
101682,Rudno polje,1 h 15 min,"lahka označena pot, lahka neoznačena steza"
101684,Planina Blato,2 h 30 min,lahko brezpotje
101699,Šport hotel,1 h,lahko brezpotje
1017,Zadnjica,6 h 30 min,lahka neoznačena steza
1017,Aljažev dom v Vratih,5 h 30 min,"zelo zahtevna označena pot, lahka neoznačena steza"
1017,Zadnjica,6 h 15 min,"zelo zahtevna označena pot, lahka neoznačena steza"
1017,Planina Blato,7 h,lahka neoznačena steza
10171,Planina Blato,4 h 15 min,delno zahtevna označena pot
10171,Koča pri Savici,4 h,zahtevna označena pot
10171,Planina Blato,4 h 15 min,lahka označena pot
10172,Planina Blato,4 h 45 min,lahka označena pot
